년도,수출,수입,수지
2022,411101526,426354670,-15253144
2021,644400368,615093447,29306921
2020,512498038,467632763,44865275
2019,542232610,503342947,38889663
2018,604859657,535202428,69657229
2017,573694421,478478296,95216125
2016,495425940,406192887,89233053
2015,526756503,436498973,90257530
2014,572664607,525514506,47150101
2013,559632434,515585515,44046919
2012,547869792,519584473,28285319
2011,555213656,524413090,30800566
2010,466383762,425212160,41171602
2009,363533561,323084521,40449040
2008,422007328,435274737,-13267409
2007,371489086,356845733,14643353
2006,325464848,309382632,16082216
2005,284418743,261238264,23180479
2004,253844672,224462687,29381985
2003,193817443,178826657,14990786
